text,code,lang_rep,code_rep
see if I got a video from Gucci and tell me if there are tickets for a meeting in Anguilla or Johnberg,"contact = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""a video"")
sender = Contact.resolve_from_text(""Gucci"")
messages = Message.find_messages(recipient=contact, sender=sender, content=content)
test_messages = bool(messages)
Responder.respond(response=test_messages)

event_name = EventName.resolve_from_text(""a meeting"")
locations = Location.resolve_many_from_text(""in Anguilla or Johnberg"")
events = []
for location in locations:
  events += Calendar.find_events(event_name=event_name, location=location)
event_tickets = Calendar.find_events_tickets(events=events)
Responder.respond(response=event_tickets)
Responder.respond(response=event_tickets)","(None, None)","(None, None)"
in case I have reminders for between 2:45 AM and 9 AM to message Brandon for his birthday and I got an email from my sisters see if on Thursday it will be dry on Anthony Forge street,"person_reminded = Contact.resolve_from_text(""I"")
date_times = DateTime.resolve_many_from_text(""between 2:45 AM and 9 AM"")
content = Content.resolve_from_text(""message Brandon for his birthday"")
reminders = []
for date_time in date_times:
  reminders = Reminder.find_reminders(person_reminded=person_reminded, date_time=date_time, content=content)
test1 = bool(reminders)
contact = Contact.resolve_from_text(""I"")
senders = Contact.resolve_many_from_text(""my sisters"")
messages = []
for sender in senders:
  messages += Message.find_messages(recipient=contact, sender=sender)
test2 = bool(messages)
test = test1 and test2
if test:
  date_time = DateTime.resolve_from_text(""Thursday"")
  weather_condition = WeatherCondition.resolve_from_text(""will be dry"")
  location = Location.resolve_from_text(""Anthony Forge street"")
  weather_forecasts = Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
  test_weather_forecasts = bool(weather_forecasts)
  Responder.respond(response=test_weather_forecasts)","(None, None)","(None, None)"
find if I got a message from Samsung or Nissan today or 6:19 PM and schedule on my personal calendar for the morning of the day after tomorrow a cricket game in the hospital hospital,"contact = Contact.resolve_from_text(""I"")
senders = Contact.resolve_many_from_text(""Samsung or Nissan"")
date_times = DateTime.resolve_many_from_text(""today or 6:19 PM"")
messages = []
for sender in senders:
  for date_time in date_times:
    messages += Message.find_messages(date_time=date_time, recipient=contact, sender=sender)
test_messages = bool(messages)
Responder.respond(response=test_messages)

event_calendar = EventCalendar.resolve_from_text(""my personal calendar"")
event_name = EventName.resolve_from_text(""a cricket game"")
date_time = DateTime.resolve_from_text(""the morning of the day after tomorrow"")
location = Location.resolve_from_text(""in the hospital hospital"")
Calendar.schedule_event(date_time=date_time, event_calendar=event_calendar, event_name=event_name, location=location)","(None, None)","(None, None)"
"after you remind for me at 3 PM that the plants need water, tell me if I got reminders for the afternoon of the day after tomorrow, the day after tomorrow and tonight","date_time = DateTime.resolve_from_text(""3 PM"")
person_reminded = Contact.resolve_from_text(""me"")
contents = Content.resolve_many_from_text(""turn off the lights and the key is under the mat"")
for content in [contents]:
  for content in [contents]:
    Reminder.create_reminder(date_time=date_time, person_reminded=person_reminded, content=content)

person_reminded = Contact.resolve_from_text(""I"")
date_times = DateTime.resolve_many_from_text(""the afternoon of the day after tomorrow, the day after tomorrow and tonight"")
reminders = []
for date_time in date_times:
  reminders += Reminder.find_reminders(person_reminded=person_reminded, date_time=date_time)
test_reminders = bool(reminders)
Responder.respond(response=test_reminders)","(None, None)","(None, None)"
"set at noon a golf game, unless that I got a reminder for tomorrow afternoon to call my dad or to lock the door","person_reminded = Contact.resolve_from_text(""I"")
date_time = DateTime.resolve_from_text(""tomorrow afternoon"")
contents = Content.resolve_many_from_text(""call my dad or lock the door"")
reminders = []
for content in contents:
  reminders = Reminder.find_reminders(person_reminded=person_reminded, date_time=date_time, content=content)
test_reminders = bool(reminders)

if not test_reminders:
  event_name = EventName.resolve_from_text(""a golf game"")
  date_time = DateTime.resolve_from_text(""noon"")
  Calendar.schedule_event(date_time=date_time, event_name=event_name)","(None, None)","(None, None)"
"show me if there are tickets for a rock concert at 11:38 PM next month in the stadium within 3 miles of my neighborhood and delete the last messages from Martin Luther King, Jr. Day that are from Chanel and Pepsi","event_name = EventName.resolve_from_text(""a rock concert"")
location = Location.resolve_from_text(""in the stadium within 3 miles of my neighborhood"")
location = utils.sort(location, ""within 3 miles of my neighborhood"")
location = utils.first(location)
date_time = DateTime.resolve_from_text(""11:38 PM next month"")
events = Calendar.find_events(date_time=date_time, event_name=event_name, location=location)
event_tickets = Calendar.find_events_tickets(events=events)
Responder.respond(response=event_tickets)

date_time = DateTime.resolve_from_text(""Martin Luther King, Jr. Day"")
senders = Contact.resolve_many_from_text(""Chanel and Pepsi"")
for sender in [senders]:
  messages = Message.find_messages(date_time=date_time, sender=sender)
  messages = last(messages)
  Message.delete_messages(messages=messages)","(None, None)","(None, None)"
"look for sweaters that are on discount at Howard LLC and Baker, Williams and Stevens, unless that I need to leave to get before 1 PM next week to the Chanel stadium within 9 miles of my parents neighborhood at 1 AM in 2 days","arrival_date_time = before arrival_date_time = DateTime.resolve_from_text(""1 PM next week"")
destination = Location.resolve_from_text(""to the Chanel stadium within 9 miles of my parents neighborhood"")
destination = utils.sort(destination, ""within 9 miles of my parents neighborhood"")
destination = utils.first(destination)
departure_time = DateTime.resolve_from_text(""1 AM in 2 days"")
departure = Navigation.find_estimated_departure(destination=destination, arrival_date_time=arrival_date_time, departure_date_time=departure_time)
test_navigation_estimate_departure = bool(departure)

if not test_navigation_estimate_departure:
  product_name = ProductName.resolve_from_text(""sweaters"")
  product_attribute = ProductAttribute.resolve_from_text(""on discount"")
  locations = Location.resolve_many_from_text(""Howard LLC and Baker, Williams and Stevens"")
  products = []
  for location in locations:
    products += Product.find_products(product_name=product_name, product_attribute=product_attribute, location=location)
  Responder.respond(response=products)","(None, None)","(None, None)"
"check the weather report at 10:56 PM next month, if not I have a meeting at mindnight next month and in Guinea there is a graduation at that time","date_time = DateTime.resolve_from_text(""mindnight next month"")
meetings = Calendar.find_events(date_time=date_time)
test1 = bool(meetings)
location = Location.resolve_from_text(""in Guinea"")
event_name = EventName.resolve_from_text(""a graduation"")
events = Calendar.find_events(date_time=date_time, location=location, event_name=event_name)
test2 = bool(events)
test = test1 and test2
if not test:
  date_time = DateTime.resolve_from_text(""10:56 PM next month"")
  weather_forecasts = Weather.find_weather_forecasts(date_time=date_time)
  Responder.respond(response=weather_forecasts)","(None, None)","(None, None)"
"provided iron are in stock or I recieved an email that includes birthday dinner invitation show if in the inn within 9 miles of my neighborhood for tomorrow there are a birthday dinner or a play event, assuming I will arrive at 8:04 AM to Ethiopia before mindnight in 2 days or 3 AM next week","product_name = ProductName.resolve_from_text(""iron"")
product_attribute = ProductAttribute.resolve_from_text(""in stock"")
products = Product.find_products(product_name=product_name, product_attribute=product_attribute)
test1 = bool(products)
contact = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""birthday dinner invitation"")
messages = Message.find_messages(recipient=contact, content=content)
test2 = bool(messages)
test1 = test1 or test2
if test1:
  destination = Location.resolve_from_text(""to Ethiopia"")
  before departure_times = DateTime.resolve_many_from_text(""mindnight in 2 days or 3 AM next week"")
  arrival = []
  for departure_date_time in departure_times:
    arrival += Navigation.find_estimated_arrival(destination=destination, arrival_date_time=arrival_date_time, departure_date_time=departure_date_time)
  test_navigation_estimate_arrival2 = bool(arrival)
  
  if test_navigation_estimate_arrival2:
    event_names = EventName.resolve_many_from_text(""a birthday dinner or a play event"")
    date_time = DateTime.resolve_from_text(""tomorrow"")
    location = Location.resolve_from_text(""in the inn within 9 miles of my neighborhood"")
    location = utils.sort(location, ""within 9 miles of my neighborhood"")
    location = utils.first(location)
    events = []
    for event_name in event_names:
      events += Calendar.find_events(date_time=date_time, location=location, event_name=event_name)
    test_events = bool(events)
    Responder.respond(response=test_events)","(None, None)","(None, None)"
"show me shoes that are on discount and Nike sandals that are on discount at Rios Group, unless I have a meeting on my personal calendar at noon tomorrow","event_calendar = EventCalendar.resolve_from_text(""my personal calendar"")
date_time = DateTime.resolve_from_text(""noon tomorrow"")
meetings = Calendar.find_events(date_time=date_time, event_calendar=event_calendar)
test_meetings = bool(meetings)

if not test_meetings:
  product_name1 = ProductName.resolve_from_text(""shoes"")
  product_name2 = ProductName.resolve_from_text(""Nike sandals"")
  product_attribute = ProductAttribute.resolve_from_text(""on discount"")
  location = Location.resolve_from_text(""Rios Group"")
  products = []
  for product_name in [product_name1, product_name2]:
    products += Product.find_products(product_name=product_name, product_attribute=product_attribute, location=location)
  Responder.respond(response=products)","(None, None)","(None, None)"
